country,category,sector,symbol,name
USA,commodity,commodity,CL=F,Cruide Oil
USA,commodity,commodity,GC=F,Gold
Australia,commodity,commodity,BTC-AUD,Bitcoin AUD
Australia,stock,Consumer Discretionary,ALL.AX,Aristocrat Leisure
Australia,stock,Consumer Discretionary,CWN.AX,Crown Resorts Limited
Australia,stock,Consumer Discretionary,DMP.AX,Domino PIZZA Enterpr
Australia,stock,Consumer Discretionary,FLT.AX,Flight Centre Travel
Australia,stock,Consumer Discretionary,JBH.AX,JB Hi-Fi Limited
Australia,stock,Consumer Discretionary,TAH.AX,Tabcorp Holdings Limited
Australia,stock,Consumer Discretionary,SGR.AX,The Star Ent Group
Australia,stock,Consumer Discretionary,WES.AX,Wesfarmers Limited
UK,stock,Consumer Discretionary,TSCO.L,Tesco
Australia,stock,Consumer Staples,CCL.AX,Coca-Cola Amatil
Australia,stock,Consumer Staples,COL.AX,Coles Group
Australia,stock,Consumer Staples,A2M.AX,The a2 Milk Company
Australia,stock,Consumer Staples,TWE.AX,Treasury Wine Estate
Australia,stock,Consumer Staples,WOW.AX,Woolworths Group Limited
Australia,currency,currency,AUDUSD=X,AUD-USD
India,currency,currency,AUDINR=X,AUD-INR
India,currency,currency,USDINR=X,USD-INR
Australia,stock,Energy,BPT.AX,Beach Energy Limited
Australia,stock,Energy,CTX.AX,Caltex Australia
Australia,stock,Energy,OSH.AX,Oil Search Limited 10 Toea
Australia,stock,Energy,ORG.AX,Origin Energy
Australia,stock,Energy,STO.AX,Santos Limited
Australia,stock,Energy,SOL.AX,Soul Pattinson (W.H)
Australia,stock,Energy,WHC.AX,Whitehaven Coal
Australia,stock,Energy,WPL.AX,Woodside Petroleum
Australia,stock,Energy,WOR.AX,Worley Limited
Australia,stock,Financials,AMP.AX,AMP Limited
Australia,stock,Financials,ANZ.AX,ANZ Banking Group Limited
Australia,stock,Financials,ASX.AX,ASX Limited
Australia,stock,Financials,BOQ.AX,Bank of Queensland
Australia,stock,Financials,BEN.AX,Bendigo and Adelaide
Australia,stock,Financials,CGF.AX,Challenger Limited
Australia,stock,Financials,CBA.AX,Commonwealth Bank
Australia,stock,Financials,IAG.AX,Insurance Australia
Australia,stock,Financials,MQG.AX,Macquarie Group Limited
Australia,stock,Financials,MFG.AX,Magellan Fin Group Limited
Australia,stock,Financials,MPL.AX,Medibank Private Limited
Australia,stock,Financials,NAB.AX,National Aust. Bank
Australia,stock,Financials,NHF.AX,Nib Holdings Limited
Australia,stock,Financials,QBE.AX,QBE Insurance Group
Australia,stock,Financials,SUN.AX,Suncorp Group Limited
Australia,stock,Financials,VUK.AX,Virgin Money Uk 
Australia,stock,Financials,WBC.AX,Westpac Banking Corp
Australia,stock,Health Care,ANN.AX,Ansell Limited
Australia,stock,Health Care,COH.AX,Cochlear Limited
Australia,stock,Health Care,CSL.AX,CSL Limited
Australia,stock,Health Care,RHC.AX,Ramsay Health Care
Australia,stock,Health Care,RMD.AX,Resmed Inc Cdi 
Australia,stock,Health Care,SHL.AX,Sonic Healthcare
Australia,index,index,^AXJO,ASX 200
India,index,index,^BSESN,Sensex
USA,index,index,^DJI,Dow Jones
UK,index,index,^FTSE,FTSE
Hong Kong,index,index,^HSI,Hang Seng
China,index,index,000001.SS,Shanghai
Japan,index,index,^N225,Nikkei 225
Germany,index,index,^GDAXI,DAX
USA,index,index,^VIX,Volatility
Australia,stock,Industrials,ALQ.AX,Als Limited
Australia,stock,Industrials,ALX.AX,Atlas Arteria
Australia,stock,Industrials,AZJ.AX,Aurizon Holdings Limited
Australia,stock,Industrials,BXB.AX,Brambles Limited
Australia,stock,Industrials,CIM.AX,Cimic Group Limited
Australia,stock,Industrials,CWY.AX,Cleanaway Waste Limited
Australia,stock,Industrials,DOW.AX,Downer Edi Limited
Australia,stock,Consumer Discretionary,QAN.AX,Qantas Airways
Australia,stock,Industrials,QUB.AX,QUBE Holdings Limited
Australia,stock,Industrials,RWC.AX,Reliance Worldwide
Australia,stock,Information Technology,SEK.AX,Seek Limited
Australia,stock,Consumer Discretionary,SYD.AX,SYD Airport
Australia,stock,Industrials,TCL.AX,Transurban Group
Australia,stock,Information Technology,APT.AX,Afterpay Limited
Australia,stock,Information Technology,ALU.AX,Altium Limited
