symbol,name,sector,country,type
APT.AX,Afterpay Limited,Information Technology,Australia,stock
AGL.AX,AGL Energy Limited,Utilities,Australia,stock
ALQ.AX,Als Limited,Industrials,Australia,stock
ALU.AX,Altium Limited,Information Technology,Australia,stock
AWC.AX,Alumina Limited,Materials,Australia,stock
AMC.AX,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,Australia,stock
AMP.AX,AMP Limited,Financials,Australia,stock
ANN.AX,Ansell Limited,Health Care,Australia,stock
ANZ.AX,ANZ Banking Group Limited,Financials,Australia,stock
APA.AX,APA Group FP Units Stapled Securities,Utilities,Australia,stock
ALL.AX,Aristocrat Leisure,Consumer Discretionary,Australia,stock
ASX.AX,ASX Limited,Financials,Australia,stock
ALX.AX,Atlas Arteria Stap US Prohibited Excluding QUP,Industrials,Australia,stock
AZJ.AX,Aurizon Holdings Limited,Industrials,Australia,stock
AST.AX,Ausnet Services Limited,Utilities,Australia,stock
BOQ.AX,Bank of Queensland,Financials,Australia,stock
BPT.AX,Beach Energy Limited,Energy,Australia,stock
BEN.AX,Bendigo and Adelaide,Financials,Australia,stock
BHP.AX,BHP Group Limited,Materials,Australia,stock
BSL.AX,Bluescope Steel Limited,Materials,Australia,stock
BLD.AX,Boral Limited,Materials,Australia,stock
BXB.AX,Brambles Limited,Industrials,Australia,stock
CTX.AX,Caltex Australia,Energy,Australia,stock
CAR.AX,Carsales.com Limited,,Australia,stock
CGF.AX,Challenger Limited,Financials,Australia,stock
CHC.AX,Charter Hall Group Stapled Securities US Prohibited,Real Estate,Australia,stock
CIM.AX,Cimic Group Limited,Industrials,Australia,stock
CWY.AX,Cleanaway Waste Limited,Industrials,Australia,stock
CCL.AX,Coca-Cola Amatil,Consumer Staples,Australia,stock
COH.AX,Cochlear Limited,Health Care,Australia,stock
COL.AX,Coles Group,Consumer Staples,Australia,stock
CBA.AX,Commonwealth Bank,Financials,Australia,stock
CPU.AX,Computershare Limited,Information Technology,Australia,stock
CWN.AX,Crown Resorts Limited,Consumer Discretionary,Australia,stock
CSL.AX,CSL Limited,Health Care,Australia,stock
DXS.AX,Dexus FP Units Stapled Securities,Real Estate,Australia,stock
DMP.AX,Domino PIZZA Enterpr,Consumer Discretionary,Australia,stock
DOW.AX,Downer Edi Limited,Industrials,Australia,stock
EVN.AX,Evolution Mining Limited,Materials,Australia,stock
FLT.AX,Flight Centre Travel,Consumer Discretionary,Australia,stock
FMG.AX,Fortescue Metals Group,Materials,Australia,stock
GMG.AX,Goodman Group,Real Estate,Australia,stock
GPT.AX,GPT Group,Real Estate,Australia,stock
ILU.AX,Iluka Resources,Materials,Australia,stock
IPL.AX,Incitec Pivot,Materials,Australia,stock
IAG.AX,Insurance Australia,Financials,Australia,stock
JHX.AX,James Hardie Indust,Materials,Australia,stock
JBH.AX,JB Hi-Fi Limited,Consumer Discretionary,Australia,stock
LLC.AX,Lendlease Group,Real Estate,Australia,stock
LNK.AX,Link Admin HLDG,Information Technology,Australia,stock
MQG.AX,Macquarie Group Limited,Financials,Australia,stock
MFG.AX,Magellan Fin Group Limited,Financials,Australia,stock
MPL.AX,Medibank Private Limited,Financials,Australia,stock
MGR.AX,Mirvac Group,Real Estate,Australia,stock
NAB.AX,National Aust. Bank,Financials,Australia,stock
NCM.AX,Newcrest Mining,Materials,Australia,stock
NHF.AX,Nib Holdings Limited,Financials,Australia,stock
NEC.AX,Nine Entertainment,,Australia,stock
NST.AX,Northern Star,Materials,Australia,stock
