Scrip Code,COMPANY,ISIN No.,Close Price
500820,Asian Paints Ltd,INE021A01026,1827.4
532215,Axis Bank Ltd,INE238A01034,404.1
532977,Bajaj Auto Ltd,INE917I01010,2445.7
500034,Bajaj Finance Ltd,INE296A01024,1976.45
532454,Bharti Airtel Ltd,INE397D01024,494.35
532281,HCL Technologies Ltd,INE860A01027,468.45
500180,HDFC Bank Ltd,INE040A01034,937.65
500182,Hero MotoCorp Ltd,INE158A01026,1898.1
500696,Hindustan Unilever Ltd,INE030A01027,2282.9
500010,Housing Development Finance Corp,INE001A01036,1579.35
532174,ICICI Bank Ltd,INE090A01021,334.85
532187,IndusInd Bank Ltd,INE095A01012,383.1
500209,Infosys Ltd,INE009A01021,658.3
500875,ITC Ltd,INE154A01025,180
500247,Kotak Mahindra Bank Ltd,INE237A01028,1240.2
500510,Larsen & Toubro Ltd,INE018A01030,850.6
500520,Mahindra & Mahindra Ltd,INE101A01026,334.25
532500,Maruti Suzuki India Ltd,INE585B01010,5045.5
500790,Nestle India Ltd,INE239A01016,17377.6
532555,NTPC Ltd,INE733E01010,93.3
500312,Oil & Natural Gas Corp Ltd,INE213A01029,67.6
532898,Power Grid Corp of India Ltd,INE752E01010,159.35
500325,Reliance Industries Ltd,INE002A01018,1417.35
500112,State Bank of India,INE062A01020,179.7
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,485.25
532540,Tata Consultancy Services Ltd,INE467B01029,1818.3
500470,Tata Steel Ltd,INE081A01012,267.8
532755,Tech Mahindra Ltd,INE669C01036,503.55
500114,Titan Co Ltd,INE280A01028,905.3
532538,UltraTech Cement Ltd,INE481G01011,3306.5
